"","Subgroup","Date","Station","flag","depth","chlc3","chlc1c2","peri","19-but","fuco","19-hex","neo","prasino","viola","allo","zea","lutein","chl_b","TChl_a"
"1",1,"2018-01-09","QU39",0,0,0.005237222,0.020249077,0.005975973,0.002560263,0.086516658,0.005676284,0.00742237,0.010484937,0.005163044,0.024454642,0.004570718,0.001757874,0.053982787,0.333518083
"2",1,"2018-01-31","QU39",0,0,0.016607081,0.022510951,0.007938138,0,0.084682708,0.004597438,0.005286591,0.008026115,0.00588141,0.024873469,0.005905774,0.001581365,0.0493424,0.354680073
"3",1,"2018-02-13","QU39",0,0,0.010679647,0.029600919,0,0.002235835,0.10951877,0.007519885,0.009375044,0.015850946,0.008670864,0.028954754,0.016685389,0.002283599,0.073426414,0.444134077
"4",1,"2018-02-27","QU39",0,0,0.015426304,0.032081399,0.010870417,0.00437493,0.164722348,0.011008142,0.007516379,0.012166005,0.007602475,0.021710243,0.011481652,0,0.061638871,0.487834555
"5",1,"2018-03-06","QU39",0,0,0.024982465,0.072022376,0,0.004887362,0.319301693,0.024954047,0.005543577,0.007124276,0.011398898,0.020312259,0.006510694,0,0.029890726,0.809856184
"6",1,"2018-03-13","QU39",0,0,0.030172471,0.060662279,0,0.008181965,0.221233527,0.067224604,0.00796112,0.012886798,0.012591177,0.037035937,0.014655281,0.002383649,0.055011881,0.698307567
"7",1,"2018-03-20","QU39",0,0,0.452897822,1.290179144,0.041157063,0.017250623,3.275307197,0.017945682,0.006309241,0.001714238,0.182743935,0.1179628,0.017383415,0.014535236,0.047108873,7.111265837
"8",1,"2018-03-27","QU39",0,0,0.197437752,0.582252025,0.08884844,0,2.45746916,0,0.042240639,0.018096269,0.144750588,0.024943786,0.007422891,0.006938879,0.043228559,4.336475059
"9",1,"2018-04-12","QU39",0,0,0.145835998,0.597336913,0,0,1.926997872,0.000825759,0.003433571,0.003206353,0.110645018,0.030885106,0.007583914,0,0.010547045,4.793657646
"10",1,"2018-04-12","QU39",0,0,0.359681222,1.226949096,0.273949553,0.087045338,3.840596299,0.003185781,0.011224733,0.009111602,0.232614793,0.061837614,0.010385694,0,0.05543076,8.655172891
"11",1,"2018-04-17","QU39",0,0,0.025286264,0.118880846,0.020144123,0.002415083,0.454539322,0.002394731,0.001162288,0.000546376,0.019905797,0.007074235,0.007727304,0,0.005504319,1.033930758
"12",1,"2018-04-24","QU39",0,0,0.752385024,0.99168537,0.191803721,0.63063257,2.132169218,0.134619787,0.052137375,0,0.118046737,0.097028805,0.051649934,0,0.024738794,5.631619215
"13",1,"2018-05-02","QU39",0,0,0.141700022,0.189279449,0.05984442,0.058829171,0.423723554,0.009448094,0.012963397,0.020773871,0.012956263,0.096041213,0.049525249,0,0.098494762,1.35183742
"14",1,"2018-05-08","QU39",0,0,0.011027641,0.049263528,0.016216121,0.002859404,0.163437488,0.023988691,0.003398224,0.001626408,0.007279182,0.020026034,0.028575861,0,0.021422611,0.519639349
