,Station,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39,QU39
,Date,2016-02-23,2016-03-22,2016-03-29,2016-04-08,2016-04-14,2016-04-28,2016-05-09,2016-05-19,2016-05-30,2016-06-30,2016-07-11,2016-08-01,2016-08-11,2016-08-22,2016-09-01,2016-09-11,2016-10-12,2016-11-09,2016-11-15,2016-11-26,2016-12-03,2016-12-14,2017-01-08,2017-01-15,2017-01-26,2017-02-17,2017-02-25,2017-03-15,2017-03-30,2017-04-06,2017-04-11,2017-04-20,2017-04-24,2017-05-02,2017-05-17,2017-05-29,2017-06-05,2017-06-12,2017-06-19,2017-06-29,2017-07-07,2017-07-11,2017-07-17,2017-07-24,2017-08-04,2017-08-08,2017-08-15,2017-08-21,2017-08-29,2017-09-05,2017-09-12,2017-09-18,2017-09-26,2017-10-03,2017-10-11,2017-10-20,2017-10-24,2017-10-31,2017-11-08,2017-11-16,2017-11-20,2017-11-27,2017-12-06,2017-12-11,2018-01-03,2018-01-09,2018-01-22,2018-01-31,2018-02-06,2018-02-13,2018-02-19,2018-02-27,2018-03-06,2018-03-13,2018-03-20,2018-03-27,2018-04-12,2018-04-17,2018-04-24,2018-05-02,2018-05-08,2018-05-15,2018-05-22,2018-05-29,2018-06-05,2018-06-11,2018-06-18,2018-06-26,2018-07-11,2018-07-16,2018-07-23,2018-07-31,2018-08-09,2018-08-14,2018-08-21,2018-08-29,2018-09-04,2018-09-13,2018-09-18,2018-09-25,2018-10-04,2018-10-09,2018-10-16,2018-10-24,2018-10-30,2018-11-19,2018-11-28,2018-11-07,2018-11-16,2019-04-12,2019-05-02,2019-05-09,2019-05-22,2019-05-29,2019-06-04,2019-06-20,2019-06-25,2019-07-03,2019-07-09,2019-07-18,2019-07-24
,Hakai ID,QPHY302,QPHY365,QPHY371,QPHY320,QPHY328,QPHY334,QPHY343,QPHY385,QPHY393,QPHY438,QPHY661,QPHY510,QPHY445,QPHY455,QPHY460,QPHY470,QPHY501,QPHY521,QPHY549,QPHY553,QPHY562,QPHY567,QPHY577,QPHY600,QPHY610,QPHY620,QPHY631,QPHY636,QPHY646,QPHY651,QPHY666,QPHY676,QPHY681,QPHY721,QPHY686,QPHY700,QPHY731,QPHY741,QPHY736,QPHY746,QPHY756,QPHY766,QPHY771,QPHY776,QPHY785,QPHY790,QPHY795,QPHY800,QPHY810,QPHY815,QPHY820,QPHY825,QPHY830,QPHY840,QPHY845,QPHY850,QPHY860,QPHY876,QPHY881,QPHY886,QPHY896,QPHY911,QPHY916,QPHY921,QPHY891,QPHY927,QPHY932,QPHY951,QPHY956,QPHY961,QPHY967,QPHY981,QPHY986,QPHY991,QPHY996,QPHY1002,QPHY1007,QPHY1013,QPHY1018,QPHY1024,QPHY1029,QPHY1034,QPHY1039,QPHY1059,QPHY1064,QPHY1070,QPHY1076,QPHY1081,QPHY1075,QPHY1091,QPHY1097,QPHY1102,QPHY1118,QPHY1124,QPHY1129,QPHY1134,QPHY1139,QPHY1144,QPHY1150,QPHY1155,QPHY1161,QPHY1166,QPHY1171,QPHY1177,QPHY1182,QPHY1198,QPHY1203,QPHY1187,QPHY1192,QPHY1222,QPHY1274,QPHY1271,QPHY1272,QPHY1275,QPHY1282,QPHY1286,QPHY1285,QPHY1288,QPHY1289,QPHY1290,QPHY1298
Group,Depth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5
Bacillariophyta,Achnanthes spp.,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Asterionellopsis glacialis,,40,,,400,,,112,160,,,,,20000,,,,40,,,,,,,,,,,,,,,,,,,,,5040,,,,,,54,,1332,,,109000,,1763,10767,,11600,40,,,,,,,,,,,,,,,,,,,,,5100,378,,370,666,777,10800,,222,,,,,,,,,,,,,,,,,,333,3286,240,,,,,,,,,,,,12543,,,,
Bacillariophyta,Asterionellopsis kariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Asteromphallus heptactis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Attheya spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,224,8750,5303,720,,14121,,6280,,37680,,,,,,,,,,,15552,,,15556,,200,,,,,,,,,,,,,,,,,,,,,,900,54,,,17500,4375,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Biddulphia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Ceratulina bicornis,,,,,200,,,,,,3200,,,,,,,,,,,,,,,,,,112,1232,282,5400,9504,,,,,,4256,107,,40,,,,,592,240,80,622,,,111,120,400,40,,,120,,,,,,,,,,,,,,,,,555,1200,1458,,,,,,,1702,,,,,,,288,41,,,,,,,,148,,444,620,,,,,,,,,,,,,333,,,,
Bacillariophyta,Chaetoceros ceratosporus,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,446,560,235,,,,,144,19250,,448,215,80,40,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,796,1700,,108,,,,,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,
Bacillariophyta,Chaetoceros cinctus,,200,,432,448000,,400,,228667,,,,,114712,,,,,,,,,240,,,,,1876,1680,11312,752,11000,8640,,2108,12240,10304,,1456,1022,,1000,,,540,680,3478,,200,68080,,205,,,40741,,,,,,,,,,,,,,,,,,,,19104,10101,26400,2538,,,,,3312,,,,,,,3348,,5904,410,,,800,7920,,,1110,,,111,2914,432,,,,,80,,962,,19152,,1488,43401,,,,
Bacillariophyta,Chaetoceros cinctus/radicans resting stage,,,,,600,,600,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,868,,,,,,,,,,,,,,,,,
Bacillariophyta,Chaetoceros concavicornis,,,54,,,,,,,,,,,,,,,40,240,40,,40,,,,,,,336,672,,,144,,,,,,,,,560,40,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,Chaetoceros convolutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,360,1924,,,,,,,360,1400,440,40,,320,120,120,80,,,,,,,,,,320,600,720,,,6000,2268,270,4366,,222,144,,,,,,,,440,,,,,,8496,80,,,370,,666,620,240,200,,,,120,,,,267,,,444,,,,
Bacillariophyta,Chaetoceros danicus,80,680,162,,,,,,,,,,,,40,,,,,,,,,,,,,577,112,,94,,,,,,448,160,,,440,40,760,,,160,,,160,4354,,82,,,,,,,,,,,,,,,40,,,,,,,,,777,,2160,,,1221,,720,,,,,,,,,,,,,11200,12384,,,,,,,62,192,,,,80,,,,,,,,222,,,,
Bacillariophyta,Chetoceros debilis,,80,65427,432,5000,,400,,800,,,,1120,2778038,120,,,,,,,,,,,,,7792,13552,29792,8366,69600,29088,,1027,2304,2800,,,,,,,,2862,4640,7844,,160,139000,,984,4995,40,41000,160,160,,280,1760,400,80,40,,,320,640,,,,,80,,,324768,14541,48600,3942,,3700,,1110,36000,,,,,,,270,,432,,,,800,7200,,,962,296,,19008,3596,624,80,80,,,,930,2886,,18288,,1344,1665,,,,
Bacillariophyta,Chaetoceros debilis resting stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
