Row.names,QMIC2406,QMIC2407,QMIC2416,QMIC2417,QMIC2426,QMIC2427,QMIC2436,QMIC2437,QMIC2446,QMIC2447,QMIC2456,QMIC2457,QMIC2466,QMIC2467,QMIC2476,QMIC2477,QMIC2486,QMIC2487,QMIC2496,QMIC2497,QMIC2506,QMIC2507,QMIC2516,QMIC2517,QMIC2526,QMIC2527,QMIC2533,QMIC2534,QMIC2543,QMIC2544,QMIC2553,QMIC2554,QMIC2563,QMIC2564,QMIC2583,QMIC2584,QMIC2593,QMIC2594,QMIC2603,QMIC2604,QMIC2659,QMIC2660,QMIC2664,QMIC2665,QMIC2674,QMIC2675,QMIC2694,QMIC2695,QMIC2705,QMIC2724,QMIC2725,QMIC2734,QMIC2735,QMIC2744,QMIC2745,QMIC2763,QMIC2764,QMIC2783,QMIC2784,QMIC2793,QMIC2794,QMIC2803,QMIC2804,QMIC2813,QMIC2814,QMIC2823,QMIC2824,QMIC2834,QMIC2843,QMIC2844,QMIC2853,QMIC2854,QMIC2863,QMIC2864,QMIC2883,QMIC2884,QMIC2893,QMIC2894,QMIC2903,QMIC2904,QMIC2913,QMIC2923,QMIC2924
ASV_1,9,1631,14,47,73,131,62,11,31,16,43,27,32,35,71,0,0,32,64,31,14,317,768,135,307,71,30,125,69,24,133,41,2026,375,3341,2835,23411,5706,33109,106433,20757,20731,8049,20060,393,16087,15833,38040,37037,3659,13181,19055,10469,14275,10132,16560,12242,13215,33447,1534,4156,34724,36802,1975,2132,14940,26435,1994,20532,15394,7052,27814,16856,10243,19098,60480,2720,13846,6958,12840,17273,1757,1253
ASV_6,0,362,16,0,0,241,119,72,20,0,0,17,0,118,24,0,8,30,141,72,267,129,26390,7346,9231,12300,70405,27098,43916,22969,9533,73209,20410,23366,1743,7693,654,3902,125,436,0,0,0,25,310,147,14,0,0,0,0,294,647,1700,1007,597,991,224,518,0,0,784,482,20654,39950,892,502,977,2016,1654,2261,2830,2970,1151,152,1273,63,0,76,210,87,0,0
ASV_2,438,6992,3438,3806,6526,13469,13508,64873,13122,5747,2499,6562,2994,1151,3011,6521,3650,1738,5173,3070,4251,4819,4558,2062,701,893,880,867,225,22,28,1093,1462,9634,0,3486,28,639,1313,8636,2903,2200,370,825,624,8905,941,8418,1474,55,1671,632,543,249,149,1216,1783,13167,15287,1256,1420,3145,7978,331,463,3409,6615,459,2855,4483,2391,7657,6131,4677,1335,2202,931,3128,2741,6539,3676,1308,2961
ASV_4,367,2268,16,18971,42,7762,2716,21303,16709,1264,674,14251,675,11114,28,4323,17,8276,11592,3790,629,12113,3558,1413,297,909,43,692,0,41,0,128,223,260,0,1488,0,0,582,3756,663,12,387,2114,122,1524,0,307,15,154,124,849,1053,302,318,481,688,937,2147,97,1091,2198,3157,715,368,1787,16520,279,3111,1672,897,7135,13385,3952,20823,8923,5042,1021,4373,2453,10609,3773,6121
ASV_12,11868,3606,3070,2580,7919,6643,20741,19939,8687,1924,3354,4238,3540,4209,12453,16164,3236,9149,10930,14239,98,62,0,0,0,0,0,0,0,0,593,2726,0,0,89,2776,0,0,889,1483,35,99,1570,724,1098,917,0,0,0,95,369,517,2005,1411,610,0,0,627,1339,107,544,0,172,0,0,1528,1521,0,0,51,195,683,1217,813,303,5096,1563,1166,3736,402,2211,4701,5389
ASV_17,1342,1963,1088,1239,2793,2790,7365,9272,35210,3663,6493,4005,7936,13497,3609,7052,805,2098,7831,2923,39,42,23,0,0,0,0,9,181,148,173,1161,14,19,263,985,37,48,792,1712,310,457,3742,2518,2851,1566,0,0,71,975,641,1202,902,443,214,24,0,1968,5749,0,0,97,422,0,0,490,443,53,168,531,181,260,2043,899,103,550,176,574,310,236,697,406,595
ASV_15,5296,4065,2749,2611,3721,2999,4766,5804,13743,5910,8766,4075,4896,5856,6740,5017,1824,1622,5621,2583,31,39,0,0,0,0,0,9,0,0,31,73,0,0,0,17,0,0,52,115,1453,2701,612,407,2031,2022,0,0,2064,1792,1220,1733,1876,256,242,0,0,4726,3561,747,620,75,264,0,11,1465,1383,21,130,423,79,245,270,198,185,1022,968,1455,3306,3242,564,2940,1975
ASV_13,1286,857,760,559,798,882,3953,3827,0,2162,3465,1046,0,0,1494,3684,1908,1668,4273,2354,575,320,380,45,30,35,37,35,241,178,684,5159,122,31,350,2952,392,1041,4656,6906,1109,1727,4644,3237,4322,2236,174,184,4098,0,3783,2336,2115,879,586,51,105,7758,7484,4053,4211,96,1116,30,12,2316,2027,108,567,2691,401,981,1196,359,654,2415,562,662,1513,455,582,547,473
ASV_28,3533,693,617,671,2764,2384,7134,7910,3393,2148,11706,3351,6666,1761,1507,731,3549,622,5519,1624,1253,617,702,368,12,21,109,97,88,28,92,884,56,198,0,414,0,0,185,308,201,514,2206,367,960,1425,5,6,0,0,331,82,113,55,13,0,0,4140,534,545,157,186,293,99,78,1355,778,105,127,169,2050,4482,2226,520,300,880,737,2314,1873,11789,416,700,925
ASV_27,249,253,84,141,99,115,113,145,569,196,195,72,170,228,269,445,93,134,994,530,37,36,9,0,0,0,0,0,0,0,15,46,0,17,47,79,81,94,1043,691,13872,14801,8851,6634,10532,9557,32,28,5071,4735,3950,3822,3503,211,104,23,13,1913,945,495,396,58,85,0,0,1118,868,0,332,882,607,1022,291,120,231,925,344,467,1198,583,166,520,446
ASV_30,3279,2811,2349,1184,1503,1591,8305,6000,4793,3396,3651,2551,3835,4997,2270,2405,1942,1791,3715,1646,128,85,180,31,20,40,40,42,153,78,226,1196,8,19,78,432,109,200,810,1878,393,734,678,415,779,379,47,38,1140,1460,1113,956,742,99,62,7,15,3130,3210,887,878,14,178,11,12,1163,1338,22,95,381,117,354,748,231,558,2560,580,922,2055,727,836,946,1059
