Row.names,summaryGroups,summaryGroupsExtended,CONSENSUS_CRG,CONSENSUS2_CRG,PR2_L1,PR2_L2,PR2_L3,PR2_L4,PR2_L5,PR2_L6,PR2_L7,PR2_L8,perc_id_PR2,al_length_PR2,summary_type,summaryGroups_metazoan
ASV_1,Metazoa,Metazoa,Metazoa,Obazoa,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Paracalanus_parvus,100,383,heterotroph - saprotroph - parasite ,Metazoa-Arthropoda
ASV_6,dino,dino,Dinoflagellata,Alveolata,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp,100,381,phototroph,
ASV_2,Metazoa,Metazoa,Metazoa,Obazoa,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_X,Maxillopoda_X_sp,100,386,heterotroph - saprotroph - parasite ,Metazoa-Arthropoda
ASV_4,Metazoa,Metazoa,Metazoa,Obazoa,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Pseudocalanus,Pseudocalanus_elongatus,100,383,heterotroph - saprotroph - parasite ,Metazoa-Arthropoda
ASV_12,dino,dino,Dinoflagellata,Alveolata,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_rotundata,100,381,phototroph,
ASV_17,crypto,crypto,Cryptomonadales,Cryptista,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_acuta,100,375,phototroph,
ASV_15,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,100,374,phototroph,
ASV_13,crypto,crypto,Cryptomonadales,Cryptista,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_amphioxeia,100,375,phototroph,
ASV_28,ciliate,ciliate,Ciliophora,Alveolata,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_M,Strombidiidae_M_X,Strombidiidae_M_X_sp,100,375,heterotroph - saprotroph - parasite ,
ASV_27,green,green,Mamiellophyceae,Archaeplastida,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus,100,366,phototroph,
ASV_30,crypto-rhodo,crypto-rhodo,Cryptomonadales,Cryptista,Eukaryota,Archaeplastida,Rhodophyta,Stylonematophyceae,Porphyridiales-2,Stylonematales-Group-I,Stylonema,Stylonema_alsidii,88.889,225,phototroph,
ASV_5,dino,dino,Dinoflagellata,Alveolata,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp,100,381,phototroph,
ASV_106,diat,diat,Diatomea,Stramenopiles,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Pseudo-nitzschia,Pseudo-nitzschia_sp,99.738,382,phototroph,
ASV_72,ciliate,ciliate,Ciliophora,Alveolata,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida_G,Strombidiida_G_X,Strombidiida_G_XX,Strombidiida_G_XX_sp,100,373,heterotroph - saprotroph - parasite ,
ASV_18,dino,dino,Dinoflagellata,Alveolata,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp,100,381,phototroph,
ASV_22,hapto,hapto,Prymnesiophyceae,Haptista,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_sp,100,381,phototroph,
ASV_16,Metazoa,Metazoa,Metazoa,Obazoa,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_X,Maxillopoda_X_sp,100,383,heterotroph - saprotroph - parasite ,Metazoa-Arthropoda
ASV_29,MALV,MALV,MALV-II,Alveolata,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-16,Dino-Group-II-Clade-16_X,Dino-Group-II-Clade-16_X_sp,100,381,heterotroph - saprotroph - parasite ,
