HakaiID,Date,Date2,event_pk,Line_Out_Depth,month,Pressure_Transducer_Depth_m,Season,year
QMIC2406,2014-01-02,2014-01-02,363209,0,1,,winter,2018
QMIC2407,2014-01-02,2014-01-02,363209,5,1,,winter,2018
QMIC2416,2014-01-08,2014-01-08,364785,0,1,,winter,2018
QMIC2417,2014-01-08,2014-01-08,364785,5,1,4.0984808,winter,2018
QMIC2426,2014-01-21,2014-01-21,365745,0,1,,winter,2018
QMIC2427,2014-01-21,2014-01-21,365745,5,1,4.3721121,winter,2018
QMIC2436,2014-01-30,2014-01-30,367267,0,1,,winter,2018
QMIC2437,2014-01-30,2014-01-30,367267,5,1,4.2411496,winter,2018
QMIC2446,2014-02-05,2014-02-05,367361,0,2,,winter,2018
QMIC2447,2014-02-05,2014-02-05,367361,5,2,5.2940733,winter,2018
QMIC2456,2014-02-12,2014-02-12,368586,0,2,,winter,2018
QMIC2457,2014-02-12,2014-02-12,368586,5,2,4.432901,winter,2018
QMIC2466,2014-02-18,2014-02-18,368685,0,2,,winter,2018
QMIC2467,2014-02-18,2014-02-18,368685,5,2,6.2928105,winter,2018
QMIC2476,2014-02-26,2014-02-26,371431,0,2,,winter,2018
QMIC2477,2014-02-26,2014-02-26,371431,5,2,4.1762751,winter,2018
QMIC2486,2014-03-05,2014-03-05,372395,0,3,,winter,2018
QMIC2487,2014-03-05,2014-03-05,372395,5,3,3.911625,winter,2018
QMIC2496,2014-03-12,2014-03-12,373340,0,3,,winter,2018
QMIC2497,2014-03-12,2014-03-12,373340,5,3,,winter,2018
QMIC2506,2014-03-19,2014-03-19,373954,0,3,,winter,2018
QMIC2507,2014-03-19,2014-03-19,373954,5,3,4.8613773,winter,2018
QMIC2516,2014-03-26,2014-03-26,374714,0,3,,spring,2018
QMIC2517,2014-03-26,2014-03-26,374714,5,3,4.9168128,spring,2018
QMIC2526,2014-04-11,2014-04-11,377549,0,4,,spring,2018
QMIC2527,2014-04-11,2014-04-11,377549,5,4,4.6372066,spring,2018
QMIC2533,2014-04-16,2014-04-16,377616,0,4,,spring,2018
QMIC2534,2014-04-16,2014-04-16,377616,5,4,4.1912042,spring,2018
QMIC2543,2014-04-23,2014-04-23,379117,0,4,,spring,2018
QMIC2544,2014-04-23,2014-04-23,379117,5,4,5.0370829,spring,2018
QMIC2553,2014-05-01,2014-05-01,387347,0,5,,spring,2018
