"","Sample","Date","summaryGroups","ReadCount","RelAbundance"
"1","QMIC2406","2018-01-03","crypto",6793,0.380091763652641
"2","QMIC2406","2018-01-03","green",5151,0.288216204118174
"3","QMIC2406","2018-01-03","hapto",3966,0.221911369740376
"4","QMIC2406","2018-01-03","dict",1200,0.0671441360787825
"5","QMIC2406","2018-01-03","diat",407,0.0227730528200537
"6","QMIC2406","2018-01-03","cyan",324,0.0181289167412713
"7","QMIC2406","2018-01-03","ochro",19,0.00106311548791406
"8","QMIC2406","2018-01-03","raph",12,0.000671441360787825
"9","QMIC2406","2018-01-03","macro",0,0
"10","QMIC2406","2018-01-03","unk",0,0
"11","QMIC2416","2018-01-09","crypto",6910,0.509963099630996
"12","QMIC2416","2018-01-09","green",3466,0.255793357933579
"13","QMIC2416","2018-01-09","hapto",1901,0.14029520295203
"14","QMIC2416","2018-01-09","dict",526,0.0388191881918819
"15","QMIC2416","2018-01-09","cyan",464,0.0342435424354244
"16","QMIC2416","2018-01-09","diat",268,0.0197785977859779
"17","QMIC2416","2018-01-09","ochro",15,0.0011070110701107
"18","QMIC2416","2018-01-09","macro",0,0
"19","QMIC2416","2018-01-09","raph",0,0
"20","QMIC2416","2018-01-09","unk",0,0
"21","QMIC2439","2018-01-22","green",1948,0.334938101788171
"22","QMIC2439","2018-01-22","crypto",1850,0.31808803301238
"23","QMIC2439","2018-01-22","hapto",964,0.165749656121045
"24","QMIC2439","2018-01-22","diat",555,0.0954264099037139
"25","QMIC2439","2018-01-22","cyan",278,0.0477991746905089
"26","QMIC2439","2018-01-22","dict",221,0.0379986244841816
"27","QMIC2439","2018-01-22","macro",0,0
"28","QMIC2439","2018-01-22","raph",0,0
"29","QMIC2439","2018-01-22","ochro",0,0
"30","QMIC2439","2018-01-22","unk",0,0
"31","QMIC2418","2018-01-31","crypto",10777,0.601462216765264
"32","QMIC2418","2018-01-31","green",4244,0.236856792052684
"33","QMIC2418","2018-01-31","hapto",1391,0.0776314320794732
