"","date","phyto_group","TChla_mean","abundance"
"1",2018-01-09,"cyan",0.000169263337738812,0
"2",2018-01-31,"cyan",0.00166879474030187,0
"3",2018-02-13,"cyan",0.00980484594280521,0
"4",2018-02-27,"cyan",0.00579066372786959,0
"5",2018-03-06,"cyan",0.00393036663687478,0
"6",2018-03-13,"cyan",0.00940410109857718,0
"7",2018-03-20,"cyan",0.0074017314085116,0
"8",2018-03-27,"cyan",0.000912705591569344,0
"9",2018-04-12,"cyan",0.00477956974646077,0
"10",2018-04-17,"cyan",0.00716357088337342,0
"11",2018-04-24,"cyan",0.0436177800099055,0
"12",2018-05-02,"cyan",0.0368654932826757,0
"13",2018-05-08,"cyan",0.0267637340972821,0
"14",2018-05-15,"cyan",0.0230539677043756,0
"15",2018-05-22,"cyan",0.0104191106123229,0
"16",2018-05-29,"cyan",0.048011373107632,0
"17",2018-06-05,"cyan",0.0820668948193391,0
"18",2018-06-11,"cyan",0.0839810855686665,0
"19",2018-06-18,"cyan",0.175910577178001,0
"20",2018-06-26,"cyan",0.371775686740875,0
"21",2018-07-11,"cyan",0.536432395378749,0
"22",2018-07-16,"cyan",0.129716793696086,540
"23",2018-07-23,"cyan",0.189202974239985,0
"24",2018-07-31,"cyan",0.00592663666854302,0
"25",2018-08-09,"cyan",0.0652492058773835,0
"26",2018-08-14,"cyan",0.351609975099564,0
"27",2018-08-21,"cyan",0.114329020182292,0
"28",2018-08-29,"cyan",0.0222935797646642,0
"29",2018-09-04,"cyan",0.00925790627176563,0
"30",2018-09-13,"cyan",0.152933726708094,0
"31",2018-09-18,"cyan",0.117026957372824,0
"32",2018-09-25,"cyan",0.0272944923490286,0
"33",2018-10-04,"cyan",0.00438915542326868,0
"34",2018-10-09,"cyan",0.0698439081509908,0
"35",2018-10-16,"cyan",0.00973130126173298,0
"36",2018-10-24,"cyan",0.028973551467061,0
"37",2018-10-30,"cyan",0.0285541654253999,0
"38",2018-11-16,"cyan",0,0
"39",2018-12-04,"cyan",0.013518166107436,0
"40",2018-01-09,"hapto",0.0113310675757627,0
"41",2018-01-31,"hapto",0.00948684026176731,0
"42",2018-02-13,"hapto",0.0150576202819745,0
"43",2018-02-27,"hapto",0.021750422505041,0
"44",2018-03-06,"hapto",0.0514328355590502,0
"45",2018-03-13,"hapto",0.134720082084338,39375
"46",2018-03-20,"hapto",0.0274284000818928,928025
"47",2018-03-27,"hapto",0,0
"48",2018-04-12,"hapto",0.00242669959455573,21000
"49",2018-04-17,"hapto",0.00487991468980908,0
