action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,source,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,project_specific_id,hakai_id,collected,preserved,microbial_sample_type,volume,lab_technician,dna_extraction_date,dna_volume,dna_volume_te_wash,qubit_dna_concentration,stock_dna_concentration,extracting_staff,extracting_lab,p_16s_v4v5_amplified,p_16s_v4_amplified,p_18s_v4_amplified,p_coi_amplified,row_flag,quality_level,comments,quality_log
,363209,1,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,0,,,QCC1865,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,2,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,0,,,QCC1866,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,3,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,0,,,QMIC2401,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,RNA,1850,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,4,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,0,,,QMIC2406,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,DNA,1800,brianna.knowles;isabelle.desmarais,2018-06-26,254.7,304.7,51.2,5.12,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,363209,1,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,5,,,QCC1855,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,2,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,5,,,QCC1856,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,3,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,5,,,QMIC2402,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,RNA,2000,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,4,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,5,,,QMIC2407,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,DNA,2000,brianna.knowles;isabelle.desmarais,2018-06-26,334.4,376.3,41.3,4.13,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,363209,1,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,10,,,QCC1857,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,2,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,10,,,QCC1858,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
