action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth,pressure_transducer_depth,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,extraction_duration,extraction_method,initial_extraction_volume,volume_filtered_ml,final_extraction_volume,tac_peak,_19_but,_19_hex,alpha_carotene,alloxanthin,antheraxanthin,beta_carotene,c2mgdg,chl_a,chl_b,chl_c1,chl_c1_c2,chl_c2,chl_c3,chl_ide_a,chla_allomer,chla_prime,diadinoxanthin,diatoxanthin,dv_chl_a,fuco,gyroxanthin_diester,lutein,me_chlide,mgdvp,neoxanthin,peri,phbide,phphyt,prasinoxanthin,violaxanthin,zeaxanthin,total_chl_a,all_chl_a,all_chl_a_flag,analyzing_lab,comments,quality_log,row_flag,quality_level
,200,1,2015-02-18,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF203,0,,2015-02-18 09:31:29,2015-02-18 09:30:05,2019-04-20 00:00:00,,1000,,1,130.6,,47,,,,,1,,,0.00256641,0.002510962,0.01314441,0.021908431,7.89886E-18,0,,0.612099139,0.069661481,,0.070689325,,0.025715227,0,0.026885086,0.013044049,0.020332533,0.00556515,,0.25482944,1.29993E-17,0.005428298,,,0.007958146,0.013740317,,,0.014140307,0.008598951,0.017256725,0.612099139,0.652028273,,USC,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",Collected,Technician
,200,1,2015-02-18,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF204,5,,2015-02-18 09:31:29,2015-02-18 09:30:05,2019-04-20 00:00:00,,1000,,1,129.7,,47,,,,,1,,,0.003035537,0.004404864,0.014222198,0.024780163,6.86714E-18,0,,0.45816931,0.077469987,,0.02625211,,0.008903043,0,0.022521474,0.01510499,0.013427693,0.00538829,,0.139629436,1.13014E-17,0.005365372,,,0.010034616,0.012369573,,,0.013469844,0.006660877,0.016355137,0.45816931,0.495795774,,USC,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",Collected,Technician
,200,1,2015-02-18,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF205,10,,2015-02-18 09:31:29,2015-02-18 09:30:05,,,1000,,1,132.4,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",Collected,Technician
,200,1,2015-02-18,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF206,30,,2015-02-18 09:31:29,2015-02-18 09:30:05,,,1000,,1,129.7,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: TRIAL RUN FOR QOMA1,2

MICROBIAL: Four cell counts were taken for each depth at station QU24. Duplicates for 1 mL and 2 mL of sample were taken both with 40 uL of Gluteraldehyde.


POP DATA:
Surface-QF226 (990 ml) 
5-QF227 (1000 ml)
10-QF228 (1000 ml)
30-QF229 (1000 ml)
100-QF230 (1000ml)
240-QF231 (1000ml)

HPLC: volumes are approximate, filters not blotted before freezing",Collected,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF264,0,,2015-03-13 09:00:01,2015-03-13 16:15:12,2019-04-20 00:00:00,,1000,Kate,1,132.6,,47,,,,,1,,,0.04431425,0,0.012655588,0.020337969,7.09523E-18,0.196936948,,3.898043211,0.022590699,,0.723775984,,0.304196864,0,0.441824013,0.100839029,0.133055031,0.049488041,,2.502521793,1.16768E-17,0,,,0.002420686,0.121832202,,,0.001820452,0.036073363,0.006378129,3.898043211,4.440706253,,USC,,1: Checked by KP,Collected,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF265,5,,2015-03-13 09:00:01,2015-03-13 16:15:12,2019-04-20 00:00:00,,1000,Kate,1,130.2,,47,,,,,1,,,0,0,0,0.004640875,6.06983E-18,0.13383572,,2.265608301,0.015440656,,0.390188764,,0.148860354,0,0.197342167,0.058451843,0.078492899,0.022273446,,1.291669521,9.98926E-18,0,,,0.007749846,0,,,0.00306441,0.02345395,0,2.265608301,2.521402311,,USC,,1: Checked by KP,Collected,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF266,10,,2015-03-13 09:00:01,2015-03-13 16:15:12,,,1000,Kate,1,131.4,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,335,1,2015-03-13,QUADRA,HAKAI,"QOMA,QOMA2,QOMA1",1,QU24,M,,QF267,30,,2015-03-13 09:00:01,2015-03-13 16:15:12,,,1000,Kate,1,132.1,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,M,,QF447,0,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,131.1,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Technician
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,M,,QF448,5,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,131.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Technician
